Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal;;;;;;;;;;;;;;;;;;;;;;;;
Resumen por provincias;;;;;;;;;;;;;;;;;;;;;;;;
Población por provincias y sexo.;;;;;;;;;;;;;;;;;;;;;;;;
Unidades: Personas;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;;Hombres;;;;;;;;Mujeres;;;;;;;
;2017;2016;2015;2014;2013;2012;2011;2010;2017;2016;2015;2014;2013;2012;2011;2010;2017;2016;2015;2014;2013;2012;2011;2010
Total Nacional;46572132;46557008;46624382;46771341;47129783;47265321;47190493;47021031;22832861;22843610;22890383;22985676;23196386;23298356;23283187;23226185;23739271;23713398;23733999;23785665;23933397;23966965;23907306;23794846
02 Albacete;390032;392118;394580;396987;400007;402837;402318;401682;194743;195841;197014;198230;200016;201640;201400;201396;195289;196277;197566;198757;199991;201197;200918;200286
03 Alicante/Alacant;1825332;1836459;1855047;1868438;1945642;1943910;1934127;1926285;904711;911173;920920;928519;968927;969237;964560;961733;920621;925286;934127;939919;976715;974673;969567;964552
04 Almería;706672;704297;701211;701688;699329;704219;702819;695560;359676;358223;356058;356663;355658;359547;361189;358112;346996;346074;345153;345025;343671;344672;341630;337448
01 Araba/Álava;326574;324126;323648;321932;321417;322557;319227;317352;161354;160240;160294;159583;159622;160649;159041;158322;165220;163886;163354;162349;161795;161908;160186;159030
33 Asturias;1034960;1042608;1051229;1061756;1068165;1077360;1081487;1084341;493911;497852;502175;507927;511346;516420;518571;520402;541049;544756;549054;553829;556819;560940;562916;563939
05 Ávila;160700;162514;164925;167015;168825;171265;172704;171896;80674;81630;82880;83998;85025;86434;87085;86728;80026;80884;82045;83017;83800;84831;85619;85168
06 Badajoz;679884;684113;686730;690929;693729;694533;693921;692137;336566;338954;340376;342654;344296;344690;344291;343363;343318;345159;346354;348275;349433;349843;349630;348774
07 Balears, Illes;1115999;1107220;1104479;1103442;1111674;1119439;1113114;1106049;554925;550682;549678;549801;554603;560091;557577;555204;561074;556538;554801;553641;557071;559348;555537;550845
08 Barcelona;5576037;5542680;5523922;5523784;5540925;5552050;5529099;5511147;2718621;2704771;2696360;2699040;2711403;2722394;2715628;2710304;2857416;2837909;2827562;2824744;2829522;2829656;2813471;2800843
48 Bizkaia;1148302;1147576;1148775;1151905;1156447;1158439;1155772;1153724;554289;554342;554832;556772;559573;561134;560178;559359;594013;593234;593943;595133;596874;597305;595594;594365
09 Burgos;358171;360995;364002;366900;371248;374970;375657;374826;178919;180418;182142;183882;186638;189124;189652;189454;179252;180577;181860;183018;184610;185846;186005;185372
10 Cáceres;400036;403665;406267;408703;410275;413597;415446;415083;198494;200285;201702;202962;203758;205634;206573;206358;201542;203380;204565;205741;206517;207963;208873;208725
11 Cádiz;1239435;1239889;1240284;1240175;1238492;1245164;1243519;1236739;612191;612858;613094;613340;612770;616686;615865;612833;627244;627031;627190;626835;625722;628478;627654;623906
39 Cantabria;580295;582206;585179;588656;591888;593861;593121;592250;281808;282988;284788;286782;288643;289999;289872;289931;298487;299218;300391;301874;303245;303862;303249;302319
12 Castellón/Castelló;575470;579245;582327;587508;601699;604564;604344;604274;285467;287802;289720;292804;300992;302927;302855;303490;290003;291443;292607;294704;300707;301637;301489;300784
13 Ciudad Real;502578;506888;513713;519613;524962;530250;530175;529453;248328;250847;254571;257918;260888;264067;264078;264098;254250;256041;259142;261695;264074;266183;266097;265355
14 Córdoba;788219;791610;795611;799402;802422;804498;805857;805108;386736;388470;390559;392644;394189;395300;395858;395570;401483;403140;405052;406758;408233;409198;409999;409538
15 Coruña, A;1120294;1122799;1127196;1132735;1138161;1143911;1147124;1146458;537311;538878;541292;544075;547079;550009;551476;551318;582983;583921;585904;588660;591082;593902;595648;595140
16 Cuenca;198718;201071;203841;207449;211899;218036;219138;217716;99821;101097;102583;104586;107111;110460;111052;110384;98897;99974;101258;102863;104788;107576;108086;107332
20 Gipuzkoa;719282;717832;716834;715148;713818;712097;709607;707263;351262;350998;350799;350014;349551;348655;347653;347027;368020;366834;366035;365134;364267;363442;361954;360236
17 Girona;755716;753576;753054;756156;761632;761627;756810;753046;377615;376943;376936;379175;382685;383428;381448;380773;378101;376633;376118;376981;378947;378199;375362;372273
18 Granada;912938;915392;917297;919455;919319;922928;924550;918072;449821;451148;451907;453407;453670;456216;457084;453734;463117;464244;465390;466048;465649;466712;467466;464338
19 Guadalajara;253310;252882;253686;255426;257723;259537;256461;251563;128341;128265;128952;130197;131796;133009;131532;129170;124969;124617;124734;125229;125927;126528;124929;122393
21 Huelva;518930;519596;520017;519229;520668;522862;521968;518081;257613;257571;257699;257542;258387;259370;259362;257716;261317;262025;262318;261687;262281;263492;262606;260365
22 Huesca;219702;221079;222909;224909;226329;227609;228361;228566;110854;111597;112626;113840;114781;115512;116224;116524;108848;109482;110283;111069;111548;112097;112137;112042
23 Jaén;643484;648250;654170;659033;664916;670242;670600;670761;318430;320862;323861;326583;330505;334226;333384;332900;325054;327388;330309;332450;334411;336016;337216;337861
24 León;468316;473604;479395;484694;489752;494451;497799;499284;228059;230727;233664;236537;239179;241749;243316;244199;240257;242877;245731;248157;250573;252702;254483;255085
25 Lleida;432384;434041;436029;438001;440915;443032;442308;439768;219059;219917;220719;221891;223779;225345;225388;224397;213325;214124;215310;216110;217136;217687;216920;215371
27 Lugo;333634;336527;339386;342748;346005;348902;351530;353504;161775;163154;164605;166325;168013;169536;170854;171983;171859;173373;174781;176423;177992;179366;180676;181521
28 Madrid;6507184;6466996;6436996;6454440;6495551;6498560;6489680;6458684;3115522;3098631;3087022;3099641;3123724;3130241;3132844;3124438;3391662;3368365;3349974;3354799;3371827;3368319;3356836;3334246
29 Málaga;1630615;1629298;1628973;1621968;1652999;1641098;1625827;1609557;800551;800630;800767;797639;813878;808527;801126;793575;830064;828668;828206;824329;839121;832571;824701;815982
30 Murcia;1470273;1464847;1467288;1466818;1472049;1474449;1470069;1461979;736238;733555;735434;735889;739842;742727;741581;738627;734035;731292;731854;730929;732207;731722;728488;723352
31 Navarra;643234;640647;640476;640790;644477;644566;642051;636924;318671;317840;317885;318486;320933;321453;320656;318423;324563;322807;322591;322304;323544;323113;321395;318501
32 Ourense;311680;314853;318391;322293;326724;330257;333257;335219;149689;151226;153043;155090;157425;159175;160570;161346;161991;163627;165348;167203;169299;171082;172687;173873
34 Palencia;163390;164644;166035;167609;168955;170713;171668;172510;80943;81609;82232;82997;83696;84630;85118;85543;82447;83035;83803;84612;85259;86083;86550;86967
35 Palmas, Las;1100480;1097800;1098406;1100027;1103850;1100813;1096980;1090605;548716;547928;548849;550166;553010;552185;551241;548699;551764;549872;549557;549861;550840;548628;545739;541906
36 Pontevedra;942731;944346;947374;950919;955050;958428;963511;962472;455617;456551;458114;460167;462605;464608;466691;465900;487114;487795;489260;490752;492445;493820;496820;496572
26 Rioja, La;315381;315794;317053;319002;322027;323609;322955;322415;155508;155969;156733;158090;160159;161574;161582;161884;159873;159825;160320;160912;161868;162035;161373;160531
37 Salamanca;333603;335985;339395;342459;345548;350564;352986;353619;162273;163613;165379;167061;168950;171489;172584;172934;171330;172372;174016;175398;176598;179075;180402;180685
38 Santa Cruz de Tenerife;1007641;1004124;1001900;1004788;1014829;1017531;1029789;1027914;496397;494910;494354;496207;502292;504055;510350;510007;511244;509214;507546;508581;512537;513476;519439;517907
40 Segovia;154184;155652;157570;159303;161702;163701;164169;164268;77443;78271;79355;80316;81598;82695;82967;83034;76741;77381;78215;78987;80104;81006;81202;81234
41 Sevilla;1939527;1939775;1941480;1941355;1942155;1938974;1928962;1917097;948817;949432;950587;950883;951597;950413;945766;940416;990710;990343;990893;990472;990558;988561;983196;976681
42 Soria;88903;90040;91006;92221;93291;94522;95223;95258;44986;45595;46077;46723;47336;47979;48347;48400;43917;44445;44929;45498;45955;46543;46876;46858
43 Tarragona;791693;792299;795101;800962;810178;814199;811401;808420;394905;395737;397730;401634;407451;410461;409732;409041;396788;396562;397371;399328;402727;403738;401669;399379
44 Teruel;135562;136977;138932;140365;142183;143728;144607;145277;68684;69504;70605;71449;72529;73478;74008;74563;66878;67473;68327;68916;69654;70250;70599;70714
45 Toledo;686841;688672;693371;699136;706407;711228;707242;697959;345528;346672;349553;352949;357149;360472;358536;354101;341313;342000;343818;346187;349258;350756;348706;343858
46 Valencia/València;2540707;2544264;2543315;2548898;2566474;2580792;2578719;2581147;1246025;1249773;1250165;1253758;1264620;1274240;1274365;1277726;1294682;1294491;1293150;1295140;1301854;1306552;1304354;1303421
47 Valladolid;521130;523679;526288;529157;532284;534280;534874;533640;254146;255591;256999;258865;260619;261941;262609;262141;266984;268088;269289;270292;271665;272339;272265;271499
49 Zamora;177404;180406;183436;185432;188270;191612;193383;194214;87808;89321;90888;91871;93336;95100;95993;96427;89596;91085;92548;93561;94934;96512;97390;97787
50 Zaragoza;953486;950507;956006;960111;978638;978130;973325;973252;466357;466105;469456;471675;482677;482908;481054;482090;487129;484402;486550;488436;495961;495222;492271;491162
51 Ceuta;84959;84519;84263;84963;84180;84018;82376;80579;43034;42846;42757;43354;43060;42948;42165;41269;41925;41673;41506;41609;41120;41070;40211;39310
52 Melilla;86120;86026;85584;84509;83679;80802;78476;76034;43629;43768;43593;43075;43017;41569;40256;38819;42491;42258;41991;41434;40662;39233;38220;37215
Notas:;;;;;;;;;;;;;;;;;;;;;;;;
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.;;;;;;;;;;;;;;;;;;;;;;;;
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística;;;;;;;;;;;;;;;;;;;;;;;;
